UniProtID,scale
A0A0C4DH73,134.2956106346787
A0A075B6I1,111.42055697404611
A0A075B6S2,110.74873313472055
A0A087WW87,109.06634870181294
A0AUZ9,58.59002323124281
A0AVK6,56.28244095680482
A0FGR8,60.96053337104261
A0FGR9,64.26220803924426
A0M8Q6,207.82785183425113
A0PJE2,162.36972081288923
A0PJX0,136.1592536885076
A0PJY2,95.0505884515194
A0PJZ3,81.52447222670622
A1A4G5,91.24724205511048
A1A4S6,66.6600819463489
A1A4V9,71.29652670700469
A1A4Y4,148.33603032126538
A1A5B4,75.3090495795943
A1A5D9,28.769308399820062
A1A519,72.23587136922879
A1A580,131.81929747364276
A1IGU5,48.19339967295787
A1KXE4,93.2839243748708
A1L0T0,65.61237626147059
A1L3X0,124.43622232527515
A1L4K1,48.87991637664242
A1L162,79.01694850015679
A1L170,88.66810983355099
A1L429,79.48125875445021
A1XBS5,71.85657630806224
A1Z1Q3,72.52916261082889
A2A2Y4,61.68151865459899
A2IDD5,67.83309640723911
A2RU49,127.24652086758432
A2RU54,87.90499417733963
A2RU67,72.48045121396002
A2AJT9,58.56476204416814
A2RUB6,57.010204875387466
A2RUR9,37.719716308464605
A2RUS2,80.60333132566835
A2RUU4,112.21322155844467
A2VCK2,78.05742585342556
A2VDF0,191.65546885602862
A2VDJ0,49.356803458223396
A4D0S4,49.0910799076404
A4D0V7,76.03610833379462
A4D1B5,65.56875331777574
A4D1E9,85.03298484977097
A4D1S0,61.90409335885626
A4D2P6,57.234668603930956
A4D161,89.81593123698582
A4GXA9,92.83234436142871
A5D8V7,44.94745588607889
A5YKK6,54.11079122622138
A5YM69,40.27436080287899
A5YM72,97.67065591684741
A6H8Z2,69.2937373783692
A6NC98,25.268269800567637
A6NCF5,103.42538701439041
A6ND36,58.590618717731694
A6ND91,142.3420274122808
A6NDN3,32.45623564968668
A6NDU8,143.92980222632858
A6NE01,31.753670768447687
A6NEK1,91.29969521039618
A6NEM1,50.11493641304012
A6NFD8,75.61993872957235
A6NFT4,38.19492138438185
A6NGG8,54.71400710640912
A6NGN9,49.68919313601936
A6NH11,94.00554984884424
A6NHC0,99.82179832418755
A6NHG4,191.8806786409998
A6NHQ4,71.97580398098593
A6NHT5,69.978236893313
A6NHX0,158.08910324606728
A6NI28,63.84050701457353
A6NI79,57.211264221158466
A6NI86,32.612426709491146
A6NIR3,69.79553518636732
A6NIV6,81.67629968417752
A6NJ69,201.41153254357712
A6NK44,108.88644428548693
A6NK59,91.71593459992368
A6NKD9,55.261217789689745
A6NKF2,62.62412014168361
A6NKQ9,98.91548249760513
A6NLC5,89.86964079432589
A6NMK7,95.68331458883463
A6NNL5,169.75908610305933
A6NNT2,45.75014895076056
A6PVS8,32.15125350316188
A6QL63,58.19077454075103
A6QL64,38.69466656838534
A7E2F4,55.90266956186235
A7KAX9,51.291271890361806
A8K2U0,62.83710341453799
A8K4G0,80.46376466954311
A8K7I4,77.86106673408209
A8K855,64.51995001453167
A8K979,64.4494667918199
A8MQ03,99.33688664847062
A8MQT2,56.63805692397999
A8MT69,175.3204563881593
A8MTJ3,90.86478967508197
A8MTZ0,108.92441098096737
A8MVW0,53.774298612534444
A8MVW5,51.55021396697966
A8MVX0,55.1821059485231
A8MWY0,55.58819050056956
A8MXD5,98.96181743026746
A8MXV6,73.32356026615169
A8MXZ3,88.96726695574493
A8MYZ6,60.09414903164022
A8MZ97,92.38130793195567
A9QM74,79.64126432451481
A9YTQ3,63.60430706604814
B0YJ81,73.38079730922618
B1AK53,66.19516096098194
B2RD01,97.66946079011389
B2RNN3,58.441204000016704
B2RV13,57.93582050496564
B2RXH4,58.21688987557779
B2RXH8,76.95671941625613
B3EWF7,70.03003760310399
B5ME19,50.60996727583799
B7ZAQ6,86.70047299782051
B7ZW38,79.32845927206601
B9A064,67.01608191351994
C9J442,68.86202873948238
C9JCN9,110.73332221865492
C9JR72,110.72574267431803
C9JRZ8,155.15542032930952
E5RJM6,81.57556061234735
M0R2J8,63.68037401091376
O00115,120.97555231630791
O00116,97.03503391974031
O00139,63.6633623021033
O00144,81.36983818159469
O00148,135.32516303864972
O00154,115.06825819978145
O00155,75.5865392314173
O00165,78.28021710528962
O00167,75.28773956782516
O00168,151.49219969999243
O00170,95.31192053461703
O00175,116.21413859479415
O00178,59.60719826005252
O00180,73.2525854194538
O00182,107.10534662705643
O00189,105.11850190871634
O00192,66.87300608927038
O00193,82.77408699048777
O00198,146.12005890877938
O00203,56.96040167388515
O00213,56.37395116935347
O00214,134.64104352258454
O00219,114.20102279647524
O00222,50.96297814576115
O00230,101.52625221566647
O00238,89.8364662387812
O00244,296.31210784976
O00253,97.73039970928521
O00254,97.51652709832484
O00257,61.45887029918988
O00273,63.60870316371033
O00291,45.254743649953184
O00292,93.20692300097512
O00299,151.3485840180794
O00303,76.75048378790076
O00305,61.157148189622994
O00311,74.34659817998359
O00321,70.91801681926785
O00327,58.183751151646085
O00358,71.42656784679
O00399,138.42280461634644
O00409,71.5388020543827
O00410,75.37902479645828
O00418,75.93235420886032
O00421,65.01603596333157
O00423,85.53986121508146
O00425,91.62895931763951
O00429,55.52620855558743
O00451,79.05692736973677
O00453,93.22187690720995
O00458,94.40886417519695
O00461,30.320166764033996
O00468,67.1768366629688
O00471,66.5422697137347
O00472,69.1437805419727
O00478,46.086378946085865
O00479,99.45511046052852
O00481,51.545868112166275
O00499,78.05642275580826
O00501,105.46864313084285
O00505,91.06423958188894
O00512,53.35748077464813
O00515,70.13284238961863
O00519,99.07382447380874
O00522,81.98328624270583
O00533,64.55051744239393
O00548,58.6527121787478
O00555,55.27115216265587
O00559,105.8725364837478
O00571,64.94652144371109
O00574,80.72667649311991
O00585,100.55516418413539
O00590,72.92560959289804
O00602,92.27317806114014
O00622,77.7968343179166
O00626,121.06712729547516
O00629,77.70739762151274
O00716,53.071481111433044
O00748,70.1965879239346
O00757,135.98597858646536
O00763,51.50987041824839
O14490,57.301194123082354
O14493,94.98968007626124
O14497,46.87567820871472
O14498,72.6973000709526
O14503,61.49011545544678
O14514,43.1237004627788
O14519,111.41589119541875
O14523,69.36772334958602
