0,66008,,,,,,TRAK2;;;O60296;-1
1,8473,,,,,,OGT;;;O15294;-1
2,2561,,,,,,GABRB2;;;P47870;56.96936905430044
3,3759,,,,,,KCNJ2;;;P63252;70.05937231127106
4,22906,,,,,,TRAK1;;;Q9UPV9;-1
5,4928,,,,,,NUP98;;;P52948;-1
6,1994,,,,,,ELAVL1;;;Q15717;-1
7,8481,,,,,,OFD1;;;O75665;-1
8,81610,,,,,,FAM83D;;;Q9H4H8;70.09901415942845
9,51361,,,,,,HOOK1;;;Q9UJC3;30.52479693591034
10,221937,,,,,,FOXK1;;;P85037;58.14843152257077
11,64837,,,,,,KLC2;;;Q9H0B6;67.00174426313062
12,89953,,,,,,KLC4;;;Q9NSK0;63.06704150135118
13,121441,,,,,,NEDD1;;;Q8NHV4;-1
14,23095,,,,,,KIF1B;;;O60333;63.902192465592464
15,5565,,,,,,PRKAB2;;;O43741;-1
16,5562,,,,,,PRKAA1;;;Q13131;-1
17,5571,,,,,,PRKAG1;;;P54619;-1
18,5347,,,,,,PLK1;;;P53350;-1
19,10651,,,,,,MTX2;;;O75431;-1
20,79649,,,,,,MAP7D3;;;Q8IWC1;-1
21,55288,,,,,,RHOT1;;;Q8IXI2;-1
22,3831,,,,,,KLC1;;;Q07866;67.88008511613519
23,3800,,,,,,KIF5C;;;O60282;52.163204728630966
24,3799,,,,,,KIF5B;;;P33176;50.11669225258912
25,3798,,,,,,KIF5A;;;Q12840;48.90560327478515
26,131405,,,,,,TRIM71;;;Q2Q1W2;-1
27,283643,C14orf80;-1;-1
28,2932,,,,,,GSK3B;;;P49841;89.60005710529956
29,2931,,,,,,GSK3A;;;P49840;77.13475755296314
30,84270,,,,,,CARD19;;;Q96LW7;108.10736661500563
31,84129,,,,,,ACAD11;;;Q709F0;88.63422317248113
32,26586,,,,,,CKAP2;;;Q8WWK9;65.2137206571147
33,9657,,,,,,IQCB1;;;Q15051;-1
34,7514,,,,,,XPO1;;;O14980;-1
35,23557,,,,,,SNAPIN;;;O95295;-1
36,84062,,,,,,DTNBP1;;;Q96EV8;45.615309415491566
37,1559,,,,,,CYP2C9;;;P11712;116.77141093036462
38,5447,,,,,,POR;;;P16435;-1
39,11140,,,,,,CDC37;;;Q16543;-1
40,140545,,,,,,RNF32;;;Q9H0A6;-1
41,9545,,,,,,RAB3D;;;O95716;-1
42,22983,,,,,,MAST1;;;Q9Y2H9;-1
43,6776,,,,,,STAT5A;;;P42229;-1
44,10617,,,,,,STAMBP;;;O95630;-1
45,1565,,,,,,CYP2D6;;;P10635;107.23304446120687
46,51295,,,,,,ECSIT;;;Q9BQ95;102.57274566269953
47,1562,,,,,,CYP2C18;;;P33260;115.81091328197668
48,1557,,,,,,CYP2C19;;;P33261;120.32691422098894
49,1576,,,,,,CYP3A4;;;P08684;114.33797535072237
50,976,,,,,,ADGRE5;;;P48960;47.158851018079204
51,10452,,,,,,TOMM40;;;O96008;-1
52,10133,,,,,,OPTN;;;Q96CV9;-1
53,4218,,,,,,RAB8A;;;P61006;-1
54,2314,,,,,,FLII;;;Q13045;77.91949033540604
55,2971,,,,,,GTF3A;;;Q92664;-1
56,9230,,,,,,RAB11B;;;Q15907;-1
57,51019,,,,,,WASHC3;;;Q9Y3C0;-1
58,79735,,,,,,TBC1D17;;;Q9HA65;-1
59,2353,,,,,,FOS;;;P01100;74.93398358797093
60,3064,,,,,,HTT;;;P42858;-1
61,26994,,,,,,RNF11;;;Q9Y3C5;-1
62,91833,,,,,,WDR20;;;Q8TBZ3;-1
63,29110,,,,,,TBK1;;;Q9UHD2;-1
64,23239,,,,,,PHLPP1;;;O60346;-1
65,27089,,,,,,UQCRQ;;;O14949;-1
66,8831,,,,,,SYNGAP1;;;Q96PV0;-1
67,5468,,,,,,PPARG;;;P37231;-1
68,1059,,,,,,CENPB;;;P07199;79.36390276560495
69,10969,,,,,,EBNA1BP2;;;Q99848;-1
70,1982,,,,,,EIF4G2;;;P78344;69.07645747609011
71,55719,,,,,,SLF2;;;Q8IX21;-1
