0,206
0,392
0,409
0,767
0,770
0,851
0,1108
0,1115
0,1496
0,1645
0,1650
0,1709
0,1735
0,1806
1,114
1,337
1,807
1,808
1,817
1,954
1,1002
1,1038
1,1708
1,1978
2,24
2,79
2,84
2,260
2,263
2,406
2,431
2,436
2,519
2,843
2,1153
2,1286
3,77
3,101
3,138
3,163
3,379
3,1073
3,1435
3,1480
3,1664
4,74
4,139
4,172
4,222
4,270
4,373
4,520
4,1162
4,1248
4,1701
4,1800
4,1925
5,145
5,202
5,310
5,434
5,461
5,491
5,570
5,597
5,637
5,888
5,986
5,1273
5,1328
5,1371
6,58
6,132
6,178
6,204
6,357
6,1215
6,1412
6,1602
6,1686
6,1928
7,17
7,47
7,294
7,439
7,459
7,467
7,574
7,612
7,730
7,791
7,829
7,1035
7,1145
7,1291
7,1299
7,1366
7,1582
7,1651
7,1737
8,38
8,330
8,369
8,481
8,497
8,635
8,700
8,897
8,1010
8,1335
9,487
9,552
9,849
9,1105
9,1240
9,1243
9,1295
9,1345
9,1413
9,1495
9,1579
10,85
10,358
10,382
10,389
10,499
10,759
10,993
10,1368
10,1486
10,1641
10,1677
11,71
11,400
11,833
11,898
11,982
11,1129
11,1150
11,1392
11,1958
12,132
12,148
12,164
12,197
12,212
12,339
12,638
12,952
12,1418
12,1529
12,1674
12,1774
12,1990
13,272
13,717
13,761
13,972
13,1057
13,1182
13,1241
13,1322
13,1858
13,1982
14,37
14,415
14,424
14,680
14,923
14,1039
14,1217
14,1369
14,1460
14,1864
15,32
15,60
15,64
15,72
15,105
15,178
15,352
15,759
15,1013
15,1075
15,1218
15,1314
15,1352
15,1360
15,1544
15,1644
15,1671
15,1750
15,1780
15,1869
15,1873
15,1944
15,1959
15,1980
15,1997
16,59
16,80
16,325
16,581
16,1032
16,1185
16,1592
16,1889
16,1975
17,359
17,411
17,508
17,550
17,730
17,925
17,942
17,1074
17,1133
17,1264
17,1366
17,1509
17,1557
17,1578
17,1599
17,1651
